parent_chembl_id,parent_name,parent_smiles,fragment_smiles,fragment_clean,n_atoms
CHEMBL1263,SALMETEROL,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,[4*]CCCC[8*],[H]CCCC[H],4
CHEMBL1263,SALMETEROL,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,[16*]c1ccc(O)c([16*])c1,[H]c1ccc(O)c([H])c1,7
CHEMBL1263,SALMETEROL,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,[4*]CCCCCC[4*],[H]CCCCCC[H],6
CHEMBL1263,SALMETEROL,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,[4*]CC([8*])O,[H]CC([H])O,3
CHEMBL1265,ADAPALENE,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,[15*]C12CC3CC(CC(C3)C1)C2,[H]C12CC3CC(CC(C3)C1)C2,10
CHEMBL1265,ADAPALENE,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,[6*]C(=O)O,[H]C(=O)O,3
CHEMBL1265,ADAPALENE,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,[16*]c1ccc2cc([16*])ccc2c1,[H]c1ccc2cc([H])ccc2c1,10
CHEMBL1265,ADAPALENE,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,[16*]c1ccc([16*])c([16*])c1,[H]c1ccc([H])c([H])c1,6
CHEMBL146095,GLAFENINE,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,[16*]c1ccccc1[16*],[H]c1ccccc1[H],6
CHEMBL146095,GLAFENINE,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,[16*]c1ccnc2cc(Cl)ccc12,[H]c1ccnc2cc(Cl)ccc12,11
CHEMBL146095,GLAFENINE,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,[4*]CC(O)CO,[H]CC(O)CO,5
CHEMBL1266,TETRAHYDROZOLINE,c1ccc2c(c1)CCCC2C1=NCCN1,c1ccc2c(c1)CCCC2C1=NCCN1,c1ccc2c(c1)CCCC2C1=NCCN1,15
CHEMBL343448,ROMIDEPSIN,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,[7*]C1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H]([13*])C(=O)N2)OC(=O)[C@H]([13*])NC1=O,[H]C1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H]([H])C(=O)N2)OC(=O)[C@H]([H])NC1=O,28
CHEMBL343448,ROMIDEPSIN,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,[8*]C(C)C,[H]C(C)C,3
CHEMBL1271,PENTOLINIUM,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,[5*][N+]1(C)CCCC1,[H][N+]1(C)CCCC1,6
CHEMBL1271,PENTOLINIUM,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,[4*]CCCCC[4*],[H]CCCCC[H],5
CHEMBL1272,REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,[4*][C@H]([8*])CC(C)C,[H][C@H]([H])CC(C)C,5
CHEMBL1272,REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,[16*]c1ccccc1[16*],[H]c1ccccc1[H],6
CHEMBL1272,REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,[6*]C(=O)O,[H]C(=O)O,3
CHEMBL1272,REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,[16*]c1ccc([16*])c([16*])c1,[H]c1ccc([H])c([H])c1,6
CHEMBL1272,REPAGLINIDE,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,[5*]N1CCCCC1,[H]N1CCCCC1,6
