parent_chembl_id,parent_name,parent_smiles,fragment_smiles,fragment_clean,n_atoms
CHEMBL1316,CARPROFEN,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,[16*]c1ccc2c(c1)[nH]c1ccc(Cl)cc12,[H]c1ccc2c(c1)[nH]c1ccc(Cl)cc12,14
CHEMBL159226,MOXISYLYTE,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,[1*]C(C)=O,[H]C(C)=O,3
CHEMBL159226,MOXISYLYTE,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,[5*]N(C)C,[H]N(C)C,3
CHEMBL159226,MOXISYLYTE,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,[16*]c1cc([16*])c(C)cc1[16*],[H]c1cc([H])c(C)cc1[H],7
CHEMBL159226,MOXISYLYTE,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,[8*]C(C)C,[H]C(C)C,3
CHEMBL1321,PROCARBAZINE,CNNCc1ccc(C(=O)NC(C)C)cc1,[16*]c1ccc([16*])cc1,[H]c1ccc([H])cc1,6
CHEMBL1321,PROCARBAZINE,CNNCc1ccc(C(=O)NC(C)C)cc1,[4*]C(C)C,[H]C(C)C,3
CHEMBL1321,PROCARBAZINE,CNNCc1ccc(C(=O)NC(C)C)cc1,[8*]CNNC,[H]CNNC,4
CHEMBL1323,DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,[4*]CC(C)C,[H]CC(C)C,4
CHEMBL1323,DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,[16*]c1ccccc1,[H]c1ccccc1,6
CHEMBL1323,DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,[15*][C@H]1CO[C@H]2OCC[C@H]21,[H][C@H]1CO[C@H]2OCC[C@H]21,8
CHEMBL1323,DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,[12*]S(=O)(=O)c1ccc(N)cc1,[H]S(=O)(=O)c1ccc(N)cc1,10
CHEMBL1323,DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,[4*]C[C@@H](O)[C@@H]([4*])C[8*],[H]C[C@@H](O)[C@@H]([H])C[H],5
CHEMBL1324,TOLCAPONE,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,[16*]c1ccc(C)cc1,[H]c1ccc(C)cc1,7
CHEMBL1324,TOLCAPONE,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,[16*]c1cc(O)c(O)c([N+](=O)[O-])c1,[H]c1cc(O)c(O)c([N+](=O)[O-])c1,11
