canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2cc3c(=O)oc4c(O)c(O)cc5c(=O)oc(c2O)c3c45)O[C@H]1C,CHEMBL477538,IC50,ug.mL-1,11.0,CHEMBL2366517,IC50,ug ml-1,11.0
C[C@@H]1O[C@@H](Oc2cc3c(=O)oc4c(O)c(O)cc5c(=O)oc(c2O)c3c45)[C@H](O)[C@H](O)[C@H]1O,CHEMBL516559,IC50,ug.mL-1,4.8,CHEMBL2366517,IC50,ug ml-1,4.8
C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,CHEMBL459413,Inhibition,%,72.0,CHEMBL2366517,INH,%,72.0
C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,CHEMBL239077,Inhibition,%,49.0,CHEMBL2366517,INH,%,49.0
C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,CHEMBL239075,Inhibition,%,0.0,CHEMBL2366517,INH,%,0.0
CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,CHEMBL201515,Inhibition,%,100.0,CHEMBL2366517,INH,%,100.0
C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,CHEMBL464567,Inhibition,%,42.0,CHEMBL2366517,INH,%,42.0
C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,CHEMBL169,Inhibition,%,85.0,CHEMBL2366517,INH,%,85.0
C/C(=C\CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,CHEMBL474065,IC50,nM,20000.0,CHEMBL2366517,IC50,uM,20.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCc2ccccc2)NS(C)(=O)=O)CSC1(C)C,CHEMBL449028,Inhibition,%,55.0,CHEMBL2366517,INH,%,55.0
CSC[C@H](NC(=O)COc1cccc2cnccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NC(C)(C)C,CHEMBL414640,Inhibition,%,40.0,CHEMBL2366517,INH,%,40.0
CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL445434,Inhibition,%,85.0,CHEMBL2366517,INH,%,85.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc3ccccc3n2)NS(C)(=O)=O)CSC1(C)C,CHEMBL501339,Inhibition,%,91.0,CHEMBL2366517,INH,%,91.0
CC(=O)N[C@H](CSc1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL500369,Inhibition,%,27.0,CHEMBL2366517,INH,%,27.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CSc2ccc3ccccc3n2)NS(C)(=O)=O)CSC1(C)C,CHEMBL447212,Inhibition,%,28.0,CHEMBL2366517,INH,%,28.0
CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL509400,Inhibition,%,96.0,CHEMBL2366517,INH,%,96.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc3ccccc3c2)NS(C)(=O)=O)CSC1(C)C,CHEMBL485911,Inhibition,%,98.0,CHEMBL2366517,INH,%,98.0
CC(=O)N[C@H](CSc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL502912,Inhibition,%,53.0,CHEMBL2366517,INH,%,53.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CSc2ccc3ccccc3c2)NS(C)(=O)=O)CSC1(C)C,CHEMBL449552,Inhibition,%,67.0,CHEMBL2366517,INH,%,67.0
CC(=O)N[C@H](CS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL510136,Inhibition,%,97.0,CHEMBL2366517,INH,%,97.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2cccc3ccccc23)NS(C)(=O)=O)CSC1(C)C,CHEMBL452953,Inhibition,%,97.0,CHEMBL2366517,INH,%,97.0
CC(=O)N[C@H](CSc1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL448032,Inhibition,%,68.0,CHEMBL2366517,INH,%,68.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CSc2cccc3ccccc23)NS(C)(=O)=O)CSC1(C)C,CHEMBL509787,Inhibition,%,74.0,CHEMBL2366517,INH,%,74.0
CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL508278,Inhibition,%,79.0,CHEMBL2366517,INH,%,79.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc(F)cc2)NS(C)(=O)=O)CSC1(C)C,CHEMBL507129,Inhibition,%,94.0,CHEMBL2366517,INH,%,94.0
CC(=O)N[C@H](CS(=O)(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,CHEMBL462726,Inhibition,%,80.0,CHEMBL2366517,INH,%,80.0
Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc(Cl)cc2)NS(C)(=O)=O)CSC1(C)C,CHEMBL452873,Inhibition,%,95.0,CHEMBL2366517,INH,%,95.0
COc1ccc(CS(=O)(=O)C[C@@H](NC(C)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,CHEMBL396464,Inhibition,%,59.0,CHEMBL2366517,INH,%,59.0
COc1ccc(CS(=O)(=O)C[C@@H](NS(C)(=O)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,CHEMBL475133,Inhibition,%,66.0,CHEMBL2366517,INH,%,66.0
COc1ccc(CSC[C@@H](NC(C)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,CHEMBL230484,Inhibition,%,87.0,CHEMBL2366517,INH,%,87.0
COc1ccc(CSC[C@@H](NS(C)(=O)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,CHEMBL455816,Inhibition,%,77.0,CHEMBL2366517,INH,%,77.0
